,country,year,contamination_ml,population_ml,PBI_ml,forest_ml,wage_ml,life_expect_ml
0,Australia,1990,5728.46,133582538.43799998,2149930.079794,34859.0,44887.842550436006,77.0
1,Australia,1991,5747.308000000001,135320882.07899997,1287432.364323,35711.2,45081.484579228796,77.4
2,Australia,1992,5896.593000000001,136876387.588,1545503.444202,36563.4,46206.4614589767,77.5
3,Australia,1993,6120.709,138140563.11699998,2169026.303259,37415.6,46882.86849637703,78.0
4,Australia,1994,6262.916,139567284.445,1658637.446067,38267.8,47396.764409518895,78.0
5,Australia,1995,6107.829000000001,141238101.61500004,1572715.726761,39120.0,47559.16310328257,77.9
6,Australia,1996,6281.889,143089680.55999997,1404395.917608,41058.9454,49218.22698055126,78.2
7,Australia,1997,6297.543000000001,144892285.28699997,1190093.478674,42997.8908,50890.2708463718,78.5
8,Australia,1998,5941.221,146580324.23300004,1268290.6970280001,44936.8362,51807.93541752253,78.7
9,Australia,1999,5803.816999999999,148410081.454,1083117.0,46875.7816,53184.231049256196,79.0
10,Australia,2000,5387.306,150343554.924,1104030.0,48814.727,53818.6726855619,79.3
11,Australia,2001,5121.710999999999,152498148.78700003,1363315.172018,24474.0,54930.0263987672,79.7
12,Australia,2002,4985.813,154456742.592,1182492.0,24296.0,55777.95699341103,80.0
13,Australia,2003,4499.161,156446374.40600002,1230448.0,25819.0,56821.356205688564,80.3
14,Australia,2004,4593.24,158313508.27400008,1269874.0,26498.0,58856.635921345594,80.6
15,Australia,2005,3973.013,160440066.18599996,1305361.0,53996.35799999999,60013.7857501592,80.9
16,Australia,2006,3944.595,162772419.99699998,1355543.0,26734.156000000003,61081.69353472133,81.1
17,Australia,2007,3382.893,165892236.068,1434606.0789,27192.006,63392.0838357877,81.4
18,Australia,2008,3226.74,169359992.018,1444704.5807,28367.757999999998,64565.32843613677,81.5
19,Australia,2009,3158.219,172966834.11,1484747.7247,51422.803,64530.77211982553,81.6
20,Australia,2010,2994.7909999999997,175783486.11900002,1548599.3559,25563.0,67256.76948359357,81.8
21,Australia,2011,2939.8390000000004,178365220.03900003,1632454.3027,26532.0,69957.56720390024,82.0
22,Australia,2012,2902.792,181485536.56399998,1656571.1417,23497.0,70964.2177967258,82.1
23,Australia,2013,2838.238,184628426.973,1671665.0823,22580.0,71242.69784929873,82.2
24,Australia,2014,2768.8959999999997,187410679.404,1691096.1733,25266.0,72295.4661603903,82.4
25,Australia,2015,2721.381,190104517.75800002,1724123.0,27290.0,72095.86067996704,82.5
26,Australia,2016,2648.313,193040770.25799996,1764512.0,30083.0,72380.36476635835,82.5
27,Australia,2017,2815.042,196285168.56900004,1847675.0,52835.551999999996,72101.10407336139,82.6
28,Austria,1990,1179.478,61192237.043,282568.0091,75588.10399999999,32065.595561879367,75.7
29,Austria,1991,1175.156,61833413.80499999,292321.3291,98340.656,33290.77980295586,75.7
30,Austria,1992,1119.685,62512238.567999996,299058.94899999996,100275.30666666667,34211.55982274053,75.9
31,Austria,1993,1063.8039999999999,63016551.30699999,299364.8828,102209.95733333334,34725.9197401427,76.2
32,Austria,1994,1007.768,63263970.10500001,308830.1618,104144.60800000001,35258.60738625503,76.5
33,Austria,1995,914.243,63358887.173,316761.5782,106079.25866666666,35727.05135659064,76.8
34,Austria,1996,922.687,63449774.37,323135.9092,108013.90933333333,35591.001411416735,77.0
35,Austria,1997,863.222,63575547.569,327053.2027,109948.56,35414.48304384543,77.4
36,Austria,1998,828.179,63722506.895,336568.888,110329.836,36581.8877771246,77.8
37,Austria,1999,723.67,63922202.261999995,346139.6557,110711.112,37406.0922521447,78.0
